Capital City,Country,Weather,Temperature (°C)
Reykjavík,Iceland,clear sky,9.42
New Delhi,India,clear sky,31.18
Jakarta,Indonesia,broken clouds,33.15
Tehran,Iran,clear sky,28.95
Baghdad,Iraq,clear sky,30.8
Dublin,Ireland,clear sky,22.18
Douglas,Isle of Man,clear sky,23.68
Jerusalem,Israel,scattered clouds,20.69
Rome,Italy,overcast clouds,22.92
Kingston,Jamaica,broken clouds,27.45
Tokyo,Japan,overcast clouds,35.17
St. Helier,Jersey,clear sky,11.77
Amman,Jordan,broken clouds,20.96
Astana,Kazakhstan,clear sky,21.8
Nairobi,Kenya,broken clouds,14.01
Tarawa,Kiribati,light rain,28.26
Pristina,Kosovo,clear sky,15.02
Kuwait City,Kuwait,clear sky,33.34
Bishkek,Kyrgyzstan,clear sky,27.24
Vientiane,Laos,overcast clouds,28.97
Riga,Latvia,broken clouds,10.39
Beirut,Lebanon,scattered clouds,25.14
Maseru,Lesotho,clear sky,6.82
Monrovia,Liberia,overcast clouds,23.81
Tripoli,Libya,clear sky,29.2
Vaduz,Liechtenstein,overcast clouds,17.01
Vilnius,Lithuania,clear sky,7.91
Luxembourg,Luxembourg,overcast clouds,12.02
Skopje,Macedonia,clear sky,16.66
Antananarivo,Madagascar,overcast clouds,13.73
Lilongwe,Malawi,clear sky,16
Kuala Lumpur,Malaysia,overcast clouds,27.85
Malé,Maldives,clear sky,28
Bamako,Mali,overcast clouds,22.29
Valletta,Malta,few clouds,25.98
Majuro,Marshall Islands,light rain,28.1
Nouakchott,Mauritania,light rain,25.64
Port Louis,Mauritius,broken clouds,21.83
Mexico City,Mexico,broken clouds,18.54
Chisinau,Moldova,clear sky,16.67
Monaco,Monaco,few clouds,20.19
Ulaanbaatar,Mongolia,scattered clouds,18.84
Podgorica,Montenegro,few clouds,18.52
Plymouth,Montserrat,heavy intensity rain,14.71
Rabat,Morocco,clear sky,19.92
Maputo,Mozambique,clear sky,17.86
Naypyidaw,Myanmar,overcast clouds,27.63
Stepanakert,Nagorno-Karabakh Republic,clear sky,20.94
Windhoek,Namibia,clear sky,11.71
Yaren,Nauru,light rain,28.16
Kathmandu,Nepal,broken clouds,23.41
Amsterdam,Netherlands,scattered clouds,13.99
Nouméa,New Caledonia,overcast clouds,19.58
Wellington,New Zealand,broken clouds,9.85
Managua,Nicaragua,overcast clouds,27.71
Niamey,Niger,overcast clouds,26.51
Abuja,Nigeria,overcast clouds,20.62
Alofi,Niue,overcast clouds,22.3
Kingston,Norfolk Island,broken clouds,27.45
Pyongyang,North Korea,broken clouds,30.08
Nicosia,Northern Cyprus,clear sky,22.5
Belfast,United Kingdom Northern Ireland,few clouds,11.02
Saipan,Northern Mariana Islands,overcast clouds,29.18
Oslo,Norway,overcast clouds,10.34
Muscat,Oman,overcast clouds,31.05
Islamabad,Pakistan,clear sky,29.05
Ngerulmud,Palau,Failed,
Jerusalem,Palestine,scattered clouds,20.69
Panama City,Panama,overcast clouds,27.03
Port Moresby,Papua New Guinea,broken clouds,26.99
Asunción,Paraguay,clear sky,14.98
Lima,Peru,scattered clouds,16.58
Manila,Philippines,overcast clouds,30.72
Adamstown,Pitcairn Islands,overcast clouds,21.29
Warsaw,Poland,clear sky,10.29
Lisbon,Portugal,clear sky,18.06
San Juan,Puerto Rico,clear sky,13.58
Doha,Qatar,few clouds,35.11
Taipei,Republic of China (Taiwan),clear sky,30.73
Brazzaville,Republic of the Congo,broken clouds,20.54
Bucharest,Romania,clear sky,18.24
Moscow,Russia,light rain,13.66
Kigali,Rwanda,overcast clouds,16.16
Gustavia,Saint Barthélemy,few clouds,28.06
Jamestown,Saint Helena,overcast clouds,17.88
Basseterre,Saint Kitts and Nevis,clear sky,27.45
Castries,Saint Lucia,broken clouds,27.62
Marigot,Saint Martin,scattered clouds,28.06
St. Pierre,Saint Pierre and Miquelon,scattered clouds,14.45
Kingstown,Saint Vincent and the Grenadines,scattered clouds,27.01
Apia,Samoa,clear sky,26.92
San Marino,San Marino,overcast clouds,19.6
Riyadh,Saudi Arabia,overcast clouds,31.01
Edinburgh,Scotland,overcast clouds,11.73
Dakar,Senegal,moderate rain,26.49
Belgrade,Serbia,light rain,19.97
Victoria,Seychelles,overcast clouds,29.36
Freetown,Sierra Leone,overcast clouds,24.57
Singapore,Singapore,overcast clouds,26.48
Philipsburg,Sint Maarten,scattered clouds,27.74
Bratislava,Slovakia,overcast clouds,17.35
Ljubljana,Slovenia,overcast clouds,17.56
Honiara,Solomon Islands,broken clouds,30.97
Mogadishu,Somalia,scattered clouds,24.76
Hargeisa,Somaliland,overcast clouds,19.39
Pretoria,South Africa,clear sky,13.76
Grytviken,South Georgia and the South Sandwich Islands,overcast clouds,2.51
Seoul,South Korea,scattered clouds,33.22
Tskhinvali,South Ossetia,light rain,18.68
Juba,South Sudan,overcast clouds,19.93
Madrid,Spain,clear sky,17.07
Sri Jayawardenapura Kotte,Sri Lanka,broken clouds,28.52
Khartoum,Sudan,broken clouds,24.3
Paramaribo,Suriname,overcast clouds,23.2
Mbabane,Swaziland,clear sky,11.05
Stockholm,Sweden,overcast clouds,10.5
Bern,Switzerland,broken clouds,16.35
Damascus,Syria,scattered clouds,19.17
São Tomé,São Tomé and Príncipe,broken clouds,22.8
Dushanbe,Tajikistan,clear sky,29.56
Dodoma,Tanzania,few clouds,14.76
Bangkok,Thailand,overcast clouds,33.97
Lomé,Togo,overcast clouds,23.39
Nukuʻalofa,Tonga,Failed,
Tiraspol,Transnistria,scattered clouds,17.59
Port of Spain,Trinidad and Tobago,broken clouds,24.61
Edinburgh of the Seven Seas,Tristan da Cunha,broken clouds,10.88
Tunis,Tunisia,clear sky,30.53
Ankara,Turkey,clear sky,14.82
Ashgabat,Turkmenistan,clear sky,33.09
Cockburn Town,Turks and Caicos Islands,overcast clouds,28.55
Funafuti,Tuvalu,overcast clouds,28
Kampala,Uganda,overcast clouds,17.58
Kyiv,Ukraine,scattered clouds,17.5
Abu Dhabi,United Arab Emirates,overcast clouds,33.3
London,United Kingdom; England,overcast clouds,13.64
"Washington, D.C.",United States,overcast clouds,22.2
Charlotte Amalie,United States Virgin Islands,overcast clouds,28.29
Montevideo,Uruguay,broken clouds,12.2
Tashkent,Uzbekistan,clear sky,27.43
Port Vila,Vanuatu,scattered clouds,23.94
Vatican City,Vatican City,overcast clouds,22.47
Caracas,Venezuela,few clouds,25.97
Hanoi,Vietnam,moderate rain,29.62
Cardiff,Wales,clear sky,12.52
Mata-Utu,Wallis and Futuna,light rain,26.27
El Aaiún,Western Sahara,broken clouds,20.43
Sanaá,Yemen,overcast clouds,18.03
Lusaka,Zambia,clear sky,13.76
Harare,Zimbabwe,clear sky,10.81
